,0,1,2,3,4,5,6,7
intérêt,0.854,0.662,0.834,0.975,0.97,0.904,0.953,0.898
musée,0.151,0.266,0.435,0.77,0.9,0.94,0.951,0.923
voix,0.895,0.551,0.42,0.565,0.652,0.705,0.814,0.898
fonds,0.895,0.655,0.431,0.47,0.448,0.685,0.785,0.898
mm,0.456,0.294,0.352,0.484,0.607,0.742,0.795,0.911
coup,0.562,0.331,0.487,0.422,0.45,0.558,0.763,0.898
grâce,0.453,0.628,0.916,0.858,0.869,0.935,0.986,0.919
maison,0.232,0.533,0.406,0.478,0.586,0.675,0.792,0.898
problèmes,0.671,0.518,0.556,0.493,0.524,0.654,0.792,0.913
développement,0.781,0.603,0.692,0.648,0.601,0.742,0.899,0.898
résultats,0.456,0.291,0.499,0.572,0.71,0.772,0.788,0.992
