,0,1,2,3,4,5,6,7
histoire,0.113,0.27,0.357,0.287,0.332,0.199,0.621,0.881
guerre,0.535,0.365,0.076,0.206,0.16,0.058,0.315,0.551
rien,0.691,0.583,0.341,0.763,0.932,0.959,0.767,0.547
enfin,0.911,0.782,0.844,0.486,0.701,0.474,0.478,0.589
droit,0.222,0.25,0.496,0.668,0.551,0.921,0.857,0.331
celle,0.873,0.972,0.778,0.701,0.907,0.75,0.58,0.563
pendant,0.44,0.604,0.629,0.899,0.786,0.399,0.3,0.667
dollars,0.317,0.155,0.251,0.395,0.314,0.789,0.881,0.881
certains,0.661,0.689,0.404,0.701,0.94,0.959,0.818,0.547
projet,0.111,0.296,0.66,0.769,0.852,0.736,0.328,0.576
hier,0.443,0.139,0.293,0.536,0.897,0.925,0.881,0.794
juin,0.76,0.785,0.461,0.304,0.353,0.09,0.025,0.0
presse,0.264,0.063,0.0,0.005,0.031,0.092,0.396,0.591
serait,0.822,0.918,0.926,0.992,0.993,0.976,0.913,0.881
ni,0.113,0.188,0.284,0.407,0.76,0.939,0.859,0.949
ensemble,0.82,0.973,0.942,0.871,0.958,0.745,0.78,0.782
puis,0.327,0.59,0.719,0.965,0.84,0.56,0.325,0.346
national,0.553,0.641,0.543,0.872,1.0,0.983,0.848,0.565
accord,0.592,0.25,0.139,0.085,0.035,0.134,0.514,0.949
seulement,0.209,0.342,0.328,0.468,0.111,0.204,0.508,0.766
reste,0.335,0.751,0.868,0.975,0.979,0.998,0.959,0.881
di,0.373,0.464,0.516,0.501,0.478,0.8,0.666,0.881
ai,0.319,0.05,0.023,0.073,0.295,0.514,0.761,0.767
nuit,0.317,0.23,0.386,0.623,0.523,0.568,0.83,0.881
économique,0.132,0.192,0.035,0.007,0.016,0.039,0.261,0.584
bon,0.222,0.389,0.41,0.697,0.837,0.974,0.897,0.56
tel,0.125,0.121,0.112,0.097,0.067,0.106,0.462,0.777
uvre,0.753,0.541,0.524,0.733,0.97,0.985,0.947,0.948
